code_commune;nom_commune;region;departement;population;strate_population;commune_rurale;commune_montagne;commune_touristique;tranche_revenu_habitant;recettes_fonctionnement_par_hab;depenses_fonctionnement_par_hab;frais_personnel_par_hab;depenses_equipement_par_hab;epargne_brute_par_hab;encours_dette_par_hab;dotation_etat_par_hab;impots_locaux_par_hab
75056;Paris;Île-de-France;Paris;2182174;10;Non;Non;Non;5;3458.07;3236.98;1198.21;572.59;221.1;4269.03;0.02;1039.39
13055;Marseille;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;877095;10;Non;Non;Oui;2;1509.93;1233.87;750.66;173.96;276.06;1736.44;266.1;957.54
69123;Lyon;Auvergne-Rhône-Alpes;Rhône;529570;10;Non;Non;Oui;3;1376.48;1177.39;694.91;159.8;199.09;686.15;127.82;856.1
31555;Toulouse;Occitanie;Haute-Garonne;498596;10;Non;Non;Oui;2;1280.81;1146.35;700.28;255.67;134.47;474.53;148.55;784.99
06088;Nice;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;345528;10;Non;Non;Oui;2;1676.3;1571.7;910.29;206.69;104.6;1521.06;205.7;960.22
44109;Nantes;Pays de la Loire;Loire-Atlantique;323975;10;Non;Non;Oui;2;1425.23;1260.84;662.5;329.16;164.39;895.58;209.32;916.85
34172;Montpellier;Occitanie;Hérault;298933;10;Non;Non;Oui;1;1164.01;971.44;639.49;212.69;192.58;817.66;251.81;665.28
67482;Strasbourg;Grand Est;Bas-Rhin;290106;10;Non;Non;Oui;2;1520.99;1324.07;712.4;315.93;196.92;1050.36;164.75;890.96
33063;Bordeaux;Nouvelle-Aquitaine;Gironde;264257;10;Non;Non;Oui;3;1435.95;1208.28;596.08;274.08;227.68;1119.6;138.6;823.25
59350;Lille;Hauts-de-France;Nord;236400;10;Non;Non;Non;1;1641.79;1435.79;925.73;311.31;206.0;1434.1;270.94;1009.11
35238;Rennes;Bretagne;Ille-et-Vilaine;224655;10;Non;Non;Oui;2;1461.15;1320.92;762.31;293.28;140.24;1204.9;243.34;832.32
51454;Reims;Grand Est;Marne;184114;10;Non;Non;Oui;1;1389.24;1072.56;613.33;222.64;316.68;1424.68;293.08;859.49
83137;Toulon;Provence-Alpes-Côte d'Azur;Var;180641;10;Non;Non;Oui;1;1157.33;940.88;676.46;164.79;216.45;347.12;231.29;622.58
42218;Saint-Étienne;Auvergne-Rhône-Alpes;Loire;175792;10;Non;Oui;Oui;1;1511.74;1336.52;811.4;216.56;175.23;1479.58;255.01;867.09
76351;Le Havre;Normandie;Seine-Maritime;170120;10;Non;Non;Oui;1;1462.54;1172.8;758.44;216.65;289.74;1295.13;286.54;751.07
21231;Dijon;Bourgogne-Franche-Comté;Côte-d'Or;161380;10;Non;Non;Non;2;1250.95;1038.17;503.7;245.25;212.78;750.96;157.86;774.67
38185;Grenoble;Auvergne-Rhône-Alpes;Isère;160441;10;Non;Non;Oui;2;1736.39;1547.78;909.14;218.12;188.61;1884.3;176.35;1190.81
49007;Angers;Pays de la Loire;Maine-et-Loire;158930;10;Non;Non;Oui;1;1466.62;1301.69;731.09;336.03;164.93;1032.27;330.08;813.78
97411;Saint-Denis;La Réunion;La Réunion;155302;10;Non;Oui;Non;1;1610.96;1324.77;699.99;292.6;286.19;1333.99;258.53;695.22
